"","1st_network","Region","cluster","Hub_consensus","freq"
"340","SMN","Frontal_Sup_R_1","56","Satellite",0.599982
"341","DMN","Frontal_Sup_R_2","23","Connector",0.466657333333333
"342","DMN","Frontal_Sup_R_2","23","Isolate",1e-05
"343","DMN","Frontal_Sup_R_2","23","Peripheral",1e-05
"344","DMN","Frontal_Sup_R_2","23","Provincial",0.399992
"345","DMN","Frontal_Sup_R_2","23","Satellite",0.133330666666667
"346","DMN","Frontal_Sup_R_2","56","Connector",0.49999
"347","DMN","Frontal_Sup_R_2","56","Isolate",1e-05
"348","DMN","Frontal_Sup_R_2","56","Peripheral",1e-05
"349","DMN","Frontal_Sup_R_2","56","Provincial",0.299994
"350","DMN","Frontal_Sup_R_2","56","Satellite",0.199996
"351","DMN","Frontal_Sup_R_3","23","Connector",0.307689230769231
"352","DMN","Frontal_Sup_R_3","23","Isolate",1e-05
"353","DMN","Frontal_Sup_R_3","23","Peripheral",0.230766923076923
"354","DMN","Frontal_Sup_R_3","23","Provincial",0.0769223076923077
"355","DMN","Frontal_Sup_R_3","23","Satellite",0.384611538461539
"356","DMN","Frontal_Sup_R_3","56","Connector",0.666646666666667
"357","DMN","Frontal_Sup_R_3","56","Isolate",1e-05
"358","DMN","Frontal_Sup_R_3","56","Peripheral",1e-05
"359","DMN","Frontal_Sup_R_3","56","Provincial",1e-05
"360","DMN","Frontal_Sup_R_3","56","Satellite",0.333323333333333
"361","DMN","Frontal_Sup_R_4","23","Connector",0.18749625
"362","DMN","Frontal_Sup_R_4","23","Isolate",1e-05
"363","DMN","Frontal_Sup_R_4","23","Peripheral",0.18749625
"364","DMN","Frontal_Sup_R_4","23","Provincial",1e-05
"365","DMN","Frontal_Sup_R_4","23","Satellite",0.6249875
"366","DMN","Frontal_Sup_R_4","56","Connector",0.199996
"367","DMN","Frontal_Sup_R_4","56","Isolate",1e-05
"368","DMN","Frontal_Sup_R_4","56","Peripheral",0.299994
"369","DMN","Frontal_Sup_R_4","56","Provincial",1e-05
"370","DMN","Frontal_Sup_R_4","56","Satellite",0.49999
"371","VMM","Fusiform_L_1","23","Connector",0.099998
"372","VMM","Fusiform_L_1","23","Isolate",1e-05
"373","VMM","Fusiform_L_1","23","Peripheral",0.399992
"374","VMM","Fusiform_L_1","23","Provincial",1e-05
"375","VMM","Fusiform_L_1","23","Satellite",0.49999
"376","VMM","Fusiform_L_1","56","Connector",0.363629090909091
"377","VMM","Fusiform_L_1","56","Isolate",1e-05
"378","VMM","Fusiform_L_1","56","Peripheral",0.363629090909091
"379","VMM","Fusiform_L_1","56","Provincial",1e-05
"380","VMM","Fusiform_L_1","56","Satellite",0.272721818181818
"381","DAN","Fusiform_L_2","23","Connector",0.0769215384615385
"382","DAN","Fusiform_L_2","23","Isolate",1e-05
"383","DAN","Fusiform_L_2","23","Peripheral",0.615372307692308
"384","DAN","Fusiform_L_2","23","Provincial",1e-05
"385","DAN","Fusiform_L_2","23","Satellite",0.307686153846154
"386","DAN","Fusiform_L_2","56","Connector",1e-05
"387","DAN","Fusiform_L_2","56","Isolate",1e-05
"388","DAN","Fusiform_L_2","56","Peripheral",0.571417142857143
"389","DAN","Fusiform_L_2","56","Provincial",0.142854285714286
"390","DAN","Fusiform_L_2","56","Satellite",0.285708571428571
